Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\TatoebaClient.cs,49,12,T:System.Uri,,,,,_http = new HttpClient { BaseAddress = new Uri(_config.BaseUrl) };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\TatoebaClient.cs,49,12,M:System.Uri.#ctor(System.String),,,,,_http = new HttpClient { BaseAddress = new Uri(_config.BaseUrl) };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\TatoebaClient.cs,49,12,T:System.Uri,,,,,_http = new HttpClient { BaseAddress = new Uri(_config.BaseUrl) };
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\GeminiClient.cs,83,20,M:System.TimeSpan.FromMinutes(System.Double),,,,,await Task.Delay(TimeSpan.FromMinutes(delayMinutes));
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\GeminiClient.cs,65,20,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(responseJson);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\GeminiClient.cs,65,20,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(responseJson);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\GeminiClient.cs,64,20,T:System.Net.Http.HttpContent,,,,,var responseJson = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\GeminiClient.cs,17,12,T:System.Uri,,,,,"_httpClient = new HttpClient              {                  BaseAddress = new Uri(""https://generativelanguage.googleapis.com/"")              };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\GeminiClient.cs,17,12,M:System.Uri.#ctor(System.String),,,,,"_httpClient = new HttpClient              {                  BaseAddress = new Uri(""https://generativelanguage.googleapis.com/"")              };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\GeminiClient.cs,17,12,T:System.Uri,,,,,"_httpClient = new HttpClient              {                  BaseAddress = new Uri(""https://generativelanguage.googleapis.com/"")              };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\GeminiClient.cs,17,12,T:System.Uri,,,,,"_httpClient = new HttpClient              {                  BaseAddress = new Uri(""https://generativelanguage.googleapis.com/"")              };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\GeminiClient.cs,17,12,M:System.Uri.#ctor(System.String),,,,,"_httpClient = new HttpClient              {                  BaseAddress = new Uri(""https://generativelanguage.googleapis.com/"")              };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\GeminiClient.cs,17,12,T:System.Uri,,,,,"_httpClient = new HttpClient              {                  BaseAddress = new Uri(""https://generativelanguage.googleapis.com/"")              };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\LLamaFileClient.cs,47,20,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(responseString);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\LLamaFileClient.cs,47,20,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(responseString);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\LLamaFileClient.cs,45,20,T:System.Net.Http.HttpContent,,,,,var responseString = await response.Content.ReadAsStringAsync();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\LLamaFileClient.cs,19,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,_httpClient.Timeout = TimeSpan.FromSeconds(300);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\LLamaFileClient.cs,19,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,_httpClient.Timeout = TimeSpan.FromSeconds(300);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\OllamaClient.cs,68,20,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\OllamaClient.cs,68,20,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\OllamaClient.cs,67,20,T:System.Net.Http.HttpContent,,,,,var json = await response.Content.ReadAsStringAsync();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\OllamaClient.cs,27,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,_httpClient.Timeout = TimeSpan.FromSeconds(300);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\AI\OllamaClient.cs,27,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,_httpClient.Timeout = TimeSpan.FromSeconds(300);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\ETL\Pipelines\TatoebaPipeline.cs,61,20,T:System.Net.Http.HttpContent,,,,,var audioData = await res.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Languages\VietnameseLanguageService.cs,54,8,T:System.Uri,,,,,"_xpfProvider ??= new XpfTranscriptor(              new Uri(XPF_RULES_URL),              ""Vietnamese XPF"",              LanguageCode          );"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Languages\VietnameseLanguageService.cs,54,8,M:System.Uri.#ctor(System.String),,,,,"_xpfProvider ??= new XpfTranscriptor(              new Uri(XPF_RULES_URL),              ""Vietnamese XPF"",              LanguageCode          );"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,SupportServer\SupportServer.csproj,File,SupportServer\SupportServer.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.22.1,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.22.1  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SupportServer\SupportServer.csproj,File,SupportServer\SupportServer.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SupportServer\SupportServer.csproj,File,SupportServer\Program.cs,43,0,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"var cloudflareConfig = builder.Configuration.GetSection(""CloudflareR2"").Get<CloudflareR2Config>();"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,SupportServer.Tests\SupportServer.Tests.csproj,File,SupportServer.Tests\SupportServer.Tests.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SupportServer.Tests\SupportServer.Tests.csproj,File,SupportServer.Tests\SupportServer.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,TestScripts\TestScripts.csproj,File,TestScripts\TestScripts.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Triolingo.csproj,,,Microsoft.AspNetCore.WebUtilities 8.0.11,,,,,"Microsoft.AspNetCore.WebUtilities, 8.0.11  Recommendation:  Remove Microsoft.AspNetCore.WebUtilities, and replace with new package Microsoft.AspNetCore.WebUtilities 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Triolingo.csproj,,,Microsoft.Extensions.Logging.Debug 8.0.1,,,,,"Microsoft.Extensions.Logging.Debug, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Triolingo.csproj,,,,,,,,Current target framework: net8.0-android;net8.0-ios;net8.0-maccatalyst;net8.0-windows10.0.19041.0 Recommended target framework: net8.0-android;net8.0-ios;net8.0-maccatalyst;net8.0-windows10.0.19041.0;net10.0-windows
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Layout/SharedTextHandler_razor.g.cs,152,8,T:System.Uri,,,,,var encodedText = Uri.EscapeDataString(text);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Shared/AnalysisHistory_razor.g.cs,455,8,T:System.Uri,,,,,var encodedText = Uri.EscapeDataString(item.OriginalText);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Webscraping/TatoebaSearch_razor.g.cs,761,12,T:System.Uri,,,,,var encodedTranslation = Uri.EscapeDataString(translation);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Webscraping/TatoebaSearch_razor.g.cs,742,8,T:System.Uri,,,,,var encodedText = Uri.EscapeDataString(sentenceText);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Webscraping/WordSearch_razor.g.cs,882,8,T:System.Uri,,,,,var encodedTranslation = Uri.EscapeDataString(translation);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Webscraping/WordSearch_razor.g.cs,881,8,T:System.Uri,,,,,var encodedSource = Uri.EscapeDataString(sourceText);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/User/CardSummary_razor.g.cs,727,12,T:System.Uri,,,,,var encodedTranslation = Uri.EscapeDataString(Card.NativeSample.Text);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/User/CardSummary_razor.g.cs,722,8,T:System.Uri,,,,,var encodedText = Uri.EscapeDataString(Card.TargetSample.Text);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/CreateCard_razor.g.cs,926,16,T:System.Uri,,,,,translatedSentence = Uri.UnescapeDataString(Translation);
